State,Year,TimeInterval,name,Unit,Measure,Value
AZ,2005,Annual,Arizona,Rate per 100 Population,Opioid Prescription,
AZ,2006,Annual,Arizona,Rate per 100 Population,Opioid Prescription,74.3
AZ,2007,Annual,Arizona,Rate per 100 Population,Opioid Prescription,77.8
AZ,2008,Annual,Arizona,Rate per 100 Population,Opioid Prescription,80.9
AZ,2009,Annual,Arizona,Rate per 100 Population,Opioid Prescription,84.2
AZ,2010,Annual,Arizona,Rate per 100 Population,Opioid Prescription,88.5
AZ,2011,Annual,Arizona,Rate per 100 Population,Opioid Prescription,88.6
AZ,2012,Annual,Arizona,Rate per 100 Population,Opioid Prescription,85.3
AZ,2013,Annual,Arizona,Rate per 100 Population,Opioid Prescription,80.4
AZ,2014,Annual,Arizona,Rate per 100 Population,Opioid Prescription,79.7
AZ,2015,Annual,Arizona,Rate per 100 Population,Opioid Prescription,75.5
AZ,2016,Annual,Arizona,Rate per 100 Population,Opioid Prescription,70.2
AZ,2017,Annual,Arizona,Rate per 100 Population,Opioid Prescription,61.2
AZ,2018,Annual,Arizona,Rate per 100 Population,Opioid Prescription,50.7
CA,2005,Annual,California,Rate per 100 Population,Opioid Prescription,
CA,2006,Annual,California,Rate per 100 Population,Opioid Prescription,51
CA,2007,Annual,California,Rate per 100 Population,Opioid Prescription,53.6
CA,2008,Annual,California,Rate per 100 Population,Opioid Prescription,55.1
CA,2009,Annual,California,Rate per 100 Population,Opioid Prescription,55.6
CA,2010,Annual,California,Rate per 100 Population,Opioid Prescription,55.8
CA,2011,Annual,California,Rate per 100 Population,Opioid Prescription,55.9
CA,2012,Annual,California,Rate per 100 Population,Opioid Prescription,56.4
CA,2013,Annual,California,Rate per 100 Population,Opioid Prescription,54.4
CA,2014,Annual,California,Rate per 100 Population,Opioid Prescription,52.7
CA,2015,Annual,California,Rate per 100 Population,Opioid Prescription,47.7
CA,2016,Annual,California,Rate per 100 Population,Opioid Prescription,44.8
CA,2017,Annual,California,Rate per 100 Population,Opioid Prescription,39.5
CA,2018,Annual,California,Rate per 100 Population,Opioid Prescription,35.1
CO,2005,Annual,Colorado,Rate per 100 Population,Opioid Prescription,
CO,2006,Annual,Colorado,Rate per 100 Population,Opioid Prescription,62.2
CO,2007,Annual,Colorado,Rate per 100 Population,Opioid Prescription,65.9
CO,2008,Annual,Colorado,Rate per 100 Population,Opioid Prescription,67.7
CO,2009,Annual,Colorado,Rate per 100 Population,Opioid Prescription,69.8
CO,2010,Annual,Colorado,Rate per 100 Population,Opioid Prescription,72
CO,2011,Annual,Colorado,Rate per 100 Population,Opioid Prescription,73
CO,2012,Annual,Colorado,Rate per 100 Population,Opioid Prescription,73.5
CO,2013,Annual,Colorado,Rate per 100 Population,Opioid Prescription,71.2
CO,2014,Annual,Colorado,Rate per 100 Population,Opioid Prescription,69.6
CO,2015,Annual,Colorado,Rate per 100 Population,Opioid Prescription,65.1
CO,2016,Annual,Colorado,Rate per 100 Population,Opioid Prescription,59.8
CO,2017,Annual,Colorado,Rate per 100 Population,Opioid Prescription,52.9
CO,2018,Annual,Colorado,Rate per 100 Population,Opioid Prescription,45.1
CT,2005,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,
CT,2006,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,64.7
CT,2007,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,67.5
CT,2008,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,68.7
CT,2009,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,68.1
CT,2010,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,68.6
CT,2011,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,69.1
CT,2012,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,69.3
CT,2013,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,67.4
CT,2014,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,66
CT,2015,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,62.3
CT,2016,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,55.9
CT,2017,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,48
CT,2018,Annual,Connecticut,Rate per 100 Population,Opioid Prescription,43
DC,2005,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,
DC,2006,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,31.7
DC,2007,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,41.2
DC,2008,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,34.5
DC,2009,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,34.4
DC,2010,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,37.1
DC,2011,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,39.8
DC,2012,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,40.3
DC,2013,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,41.1
DC,2014,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,40.1
DC,2015,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,35.7
DC,2016,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,32.5
DC,2017,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,28.5
DC,2018,Annual,District Of Columbia,Rate per 100 Population,Opioid Prescription,25
DE,2005,Annual,Delaware,Rate per 100 Population,Opioid Prescription,
DE,2006,Annual,Delaware,Rate per 100 Population,Opioid Prescription,86.6
DE,2007,Annual,Delaware,Rate per 100 Population,Opioid Prescription,92.3
DE,2008,Annual,Delaware,Rate per 100 Population,Opioid Prescription,95.4
DE,2009,Annual,Delaware,Rate per 100 Population,Opioid Prescription,97.5
DE,2010,Annual,Delaware,Rate per 100 Population,Opioid Prescription,101.1
DE,2011,Annual,Delaware,Rate per 100 Population,Opioid Prescription,99.7
DE,2012,Annual,Delaware,Rate per 100 Population,Opioid Prescription,94
DE,2013,Annual,Delaware,Rate per 100 Population,Opioid Prescription,92.7
DE,2014,Annual,Delaware,Rate per 100 Population,Opioid Prescription,91
DE,2015,Annual,Delaware,Rate per 100 Population,Opioid Prescription,84.4
DE,2016,Annual,Delaware,Rate per 100 Population,Opioid Prescription,79.2
DE,2017,Annual,Delaware,Rate per 100 Population,Opioid Prescription,68.3
DE,2018,Annual,Delaware,Rate per 100 Population,Opioid Prescription,60.6
FL,2005,Annual,Florida,Rate per 100 Population,Opioid Prescription,
FL,2006,Annual,Florida,Rate per 100 Population,Opioid Prescription,79.7
FL,2007,Annual,Florida,Rate per 100 Population,Opioid Prescription,82.2
FL,2008,Annual,Florida,Rate per 100 Population,Opioid Prescription,84.3
FL,2009,Annual,Florida,Rate per 100 Population,Opioid Prescription,86.3
FL,2010,Annual,Florida,Rate per 100 Population,Opioid Prescription,87.6
FL,2011,Annual,Florida,Rate per 100 Population,Opioid Prescription,83.5
FL,2012,Annual,Florida,Rate per 100 Population,Opioid Prescription,75.9
FL,2013,Annual,Florida,Rate per 100 Population,Opioid Prescription,73.5
FL,2014,Annual,Florida,Rate per 100 Population,Opioid Prescription,71.4
FL,2015,Annual,Florida,Rate per 100 Population,Opioid Prescription,67.1
FL,2016,Annual,Florida,Rate per 100 Population,Opioid Prescription,66.6
FL,2017,Annual,Florida,Rate per 100 Population,Opioid Prescription,60.9
FL,2018,Annual,Florida,Rate per 100 Population,Opioid Prescription,53.7
GA,2005,Annual,Georgia,Rate per 100 Population,Opioid Prescription,
GA,2006,Annual,Georgia,Rate per 100 Population,Opioid Prescription,79.8
GA,2007,Annual,Georgia,Rate per 100 Population,Opioid Prescription,82.5
GA,2008,Annual,Georgia,Rate per 100 Population,Opioid Prescription,86.3
GA,2009,Annual,Georgia,Rate per 100 Population,Opioid Prescription,88.2
GA,2010,Annual,Georgia,Rate per 100 Population,Opioid Prescription,90.2
GA,2011,Annual,Georgia,Rate per 100 Population,Opioid Prescription,88.6
GA,2012,Annual,Georgia,Rate per 100 Population,Opioid Prescription,89.4
GA,2013,Annual,Georgia,Rate per 100 Population,Opioid Prescription,86.6
GA,2014,Annual,Georgia,Rate per 100 Population,Opioid Prescription,83.8
GA,2015,Annual,Georgia,Rate per 100 Population,Opioid Prescription,79.4
GA,2016,Annual,Georgia,Rate per 100 Population,Opioid Prescription,77.8
GA,2017,Annual,Georgia,Rate per 100 Population,Opioid Prescription,70.9
GA,2018,Annual,Georgia,Rate per 100 Population,Opioid Prescription,63.2
HI,2005,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,
HI,2006,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,42.3
HI,2007,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,44.5
HI,2008,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,46.6
HI,2009,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,47.8
HI,2010,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,50.1
HI,2011,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,50.1
HI,2012,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,50.4
HI,2013,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,49.4
HI,2014,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,47.7
HI,2015,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,44.3
HI,2016,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,41.9
HI,2017,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,37
HI,2018,Annual,Hawaii,Rate per 100 Population,Opioid Prescription,33.4
IA,2005,Annual,Iowa,Rate per 100 Population,Opioid Prescription,
IA,2006,Annual,Iowa,Rate per 100 Population,Opioid Prescription,59.3
IA,2007,Annual,Iowa,Rate per 100 Population,Opioid Prescription,57.1
IA,2008,Annual,Iowa,Rate per 100 Population,Opioid Prescription,59.1
IA,2009,Annual,Iowa,Rate per 100 Population,Opioid Prescription,60.4
IA,2010,Annual,Iowa,Rate per 100 Population,Opioid Prescription,62.3
IA,2011,Annual,Iowa,Rate per 100 Population,Opioid Prescription,64
IA,2012,Annual,Iowa,Rate per 100 Population,Opioid Prescription,74.1
IA,2013,Annual,Iowa,Rate per 100 Population,Opioid Prescription,72.2
IA,2014,Annual,Iowa,Rate per 100 Population,Opioid Prescription,72.3
IA,2015,Annual,Iowa,Rate per 100 Population,Opioid Prescription,68.6
IA,2016,Annual,Iowa,Rate per 100 Population,Opioid Prescription,64
IA,2017,Annual,Iowa,Rate per 100 Population,Opioid Prescription,56.4
IA,2018,Annual,Iowa,Rate per 100 Population,Opioid Prescription,49.3
ID,2005,Annual,Idaho,Rate per 100 Population,Opioid Prescription,
ID,2006,Annual,Idaho,Rate per 100 Population,Opioid Prescription,75.6
ID,2007,Annual,Idaho,Rate per 100 Population,Opioid Prescription,78.8
ID,2008,Annual,Idaho,Rate per 100 Population,Opioid Prescription,82.7
ID,2009,Annual,Idaho,Rate per 100 Population,Opioid Prescription,85.2
ID,2010,Annual,Idaho,Rate per 100 Population,Opioid Prescription,88.6
ID,2011,Annual,Idaho,Rate per 100 Population,Opioid Prescription,91.4
ID,2012,Annual,Idaho,Rate per 100 Population,Opioid Prescription,92
ID,2013,Annual,Idaho,Rate per 100 Population,Opioid Prescription,89.2
ID,2014,Annual,Idaho,Rate per 100 Population,Opioid Prescription,87.4
ID,2015,Annual,Idaho,Rate per 100 Population,Opioid Prescription,81.9
ID,2016,Annual,Idaho,Rate per 100 Population,Opioid Prescription,77.6
ID,2017,Annual,Idaho,Rate per 100 Population,Opioid Prescription,70.3
ID,2018,Annual,Idaho,Rate per 100 Population,Opioid Prescription,61.9
IL,2005,Annual,Illinois,Rate per 100 Population,Opioid Prescription,
IL,2006,Annual,Illinois,Rate per 100 Population,Opioid Prescription,55.6
IL,2007,Annual,Illinois,Rate per 100 Population,Opioid Prescription,59.2
IL,2008,Annual,Illinois,Rate per 100 Population,Opioid Prescription,60.2
IL,2009,Annual,Illinois,Rate per 100 Population,Opioid Prescription,61
IL,2010,Annual,Illinois,Rate per 100 Population,Opioid Prescription,63.1
IL,2011,Annual,Illinois,Rate per 100 Population,Opioid Prescription,64.3
IL,2012,Annual,Illinois,Rate per 100 Population,Opioid Prescription,66.1
IL,2013,Annual,Illinois,Rate per 100 Population,Opioid Prescription,63.7
IL,2014,Annual,Illinois,Rate per 100 Population,Opioid Prescription,62.3
IL,2015,Annual,Illinois,Rate per 100 Population,Opioid Prescription,59.1
IL,2016,Annual,Illinois,Rate per 100 Population,Opioid Prescription,56.8
IL,2017,Annual,Illinois,Rate per 100 Population,Opioid Prescription,51.1
IL,2018,Annual,Illinois,Rate per 100 Population,Opioid Prescription,45.2
IN,2005,Annual,Indiana,Rate per 100 Population,Opioid Prescription,
IN,2006,Annual,Indiana,Rate per 100 Population,Opioid Prescription,94.3
IN,2007,Annual,Indiana,Rate per 100 Population,Opioid Prescription,99.7
IN,2008,Annual,Indiana,Rate per 100 Population,Opioid Prescription,103.3
IN,2009,Annual,Indiana,Rate per 100 Population,Opioid Prescription,105.6
IN,2010,Annual,Indiana,Rate per 100 Population,Opioid Prescription,107.1
IN,2011,Annual,Indiana,Rate per 100 Population,Opioid Prescription,106.7
IN,2012,Annual,Indiana,Rate per 100 Population,Opioid Prescription,110.5
IN,2013,Annual,Indiana,Rate per 100 Population,Opioid Prescription,106.3
IN,2014,Annual,Indiana,Rate per 100 Population,Opioid Prescription,96.7
IN,2015,Annual,Indiana,Rate per 100 Population,Opioid Prescription,89.1
IN,2016,Annual,Indiana,Rate per 100 Population,Opioid Prescription,83.9
IN,2017,Annual,Indiana,Rate per 100 Population,Opioid Prescription,74.2
IN,2018,Annual,Indiana,Rate per 100 Population,Opioid Prescription,65.8
KS,2005,Annual,Kansas,Rate per 100 Population,Opioid Prescription,
KS,2006,Annual,Kansas,Rate per 100 Population,Opioid Prescription,77.5
KS,2007,Annual,Kansas,Rate per 100 Population,Opioid Prescription,80.6
KS,2008,Annual,Kansas,Rate per 100 Population,Opioid Prescription,82.7
KS,2009,Annual,Kansas,Rate per 100 Population,Opioid Prescription,82.8
KS,2010,Annual,Kansas,Rate per 100 Population,Opioid Prescription,86.1
KS,2011,Annual,Kansas,Rate per 100 Population,Opioid Prescription,87.8
KS,2012,Annual,Kansas,Rate per 100 Population,Opioid Prescription,90.3
KS,2013,Annual,Kansas,Rate per 100 Population,Opioid Prescription,88.7
KS,2014,Annual,Kansas,Rate per 100 Population,Opioid Prescription,86.5
KS,2015,Annual,Kansas,Rate per 100 Population,Opioid Prescription,80.5
KS,2016,Annual,Kansas,Rate per 100 Population,Opioid Prescription,76.9
KS,2017,Annual,Kansas,Rate per 100 Population,Opioid Prescription,69.8
KS,2018,Annual,Kansas,Rate per 100 Population,Opioid Prescription,64.3
KY,2005,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,
KY,2006,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,122.6
KY,2007,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,130.8
KY,2008,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,136.6
KY,2009,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,135.2
KY,2010,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,136.5
KY,2011,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,137
KY,2012,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,127.9
KY,2013,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,111.7
KY,2014,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,110
KY,2015,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,102.6
KY,2016,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,97.2
KY,2017,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,86.8
KY,2018,Annual,Kentucky,Rate per 100 Population,Opioid Prescription,79.5
LA,2005,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,
LA,2006,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,109.2
LA,2007,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,110.1
LA,2008,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,113.7
LA,2009,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,113
LA,2010,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,112.6
LA,2011,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,111.7
LA,2012,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,113
LA,2013,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,112.4
LA,2014,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,108.9
LA,2015,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,100.4
LA,2016,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,98.1
LA,2017,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,89.5
LA,2018,Annual,Louisiana,Rate per 100 Population,Opioid Prescription,79.4
MA,2005,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,
MA,2006,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,66
MA,2007,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,68.2
MA,2008,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,69.2
MA,2009,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,68.9
MA,2010,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,67.9
MA,2011,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,65.9
MA,2012,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,65.7
MA,2013,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,63
MA,2014,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,59.6
MA,2015,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,54
MA,2016,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,47.1
MA,2017,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,40.1
MA,2018,Annual,Massachusetts,Rate per 100 Population,Opioid Prescription,35.3
MD,2005,Annual,Maryland,Rate per 100 Population,Opioid Prescription,
MD,2006,Annual,Maryland,Rate per 100 Population,Opioid Prescription,60.1
MD,2007,Annual,Maryland,Rate per 100 Population,Opioid Prescription,63.3
MD,2008,Annual,Maryland,Rate per 100 Population,Opioid Prescription,65.5
MD,2009,Annual,Maryland,Rate per 100 Population,Opioid Prescription,66.9
MD,2010,Annual,Maryland,Rate per 100 Population,Opioid Prescription,71.2
MD,2011,Annual,Maryland,Rate per 100 Population,Opioid Prescription,72.9
MD,2012,Annual,Maryland,Rate per 100 Population,Opioid Prescription,72.2
MD,2013,Annual,Maryland,Rate per 100 Population,Opioid Prescription,69
MD,2014,Annual,Maryland,Rate per 100 Population,Opioid Prescription,67.6
MD,2015,Annual,Maryland,Rate per 100 Population,Opioid Prescription,63
MD,2016,Annual,Maryland,Rate per 100 Population,Opioid Prescription,58.7
MD,2017,Annual,Maryland,Rate per 100 Population,Opioid Prescription,51.7
MD,2018,Annual,Maryland,Rate per 100 Population,Opioid Prescription,45.1
ME,2005,Annual,Maine,Rate per 100 Population,Opioid Prescription,
ME,2006,Annual,Maine,Rate per 100 Population,Opioid Prescription,83.6
ME,2007,Annual,Maine,Rate per 100 Population,Opioid Prescription,85.4
ME,2008,Annual,Maine,Rate per 100 Population,Opioid Prescription,88.7
ME,2009,Annual,Maine,Rate per 100 Population,Opioid Prescription,87.9
ME,2010,Annual,Maine,Rate per 100 Population,Opioid Prescription,92.8
ME,2011,Annual,Maine,Rate per 100 Population,Opioid Prescription,93.1
ME,2012,Annual,Maine,Rate per 100 Population,Opioid Prescription,89.7
ME,2013,Annual,Maine,Rate per 100 Population,Opioid Prescription,85.9
ME,2014,Annual,Maine,Rate per 100 Population,Opioid Prescription,82.4
ME,2015,Annual,Maine,Rate per 100 Population,Opioid Prescription,76.5
ME,2016,Annual,Maine,Rate per 100 Population,Opioid Prescription,66.9
ME,2017,Annual,Maine,Rate per 100 Population,Opioid Prescription,55.7
ME,2018,Annual,Maine,Rate per 100 Population,Opioid Prescription,48.1
MI,2005,Annual,Michigan,Rate per 100 Population,Opioid Prescription,
MI,2006,Annual,Michigan,Rate per 100 Population,Opioid Prescription,80.2
MI,2007,Annual,Michigan,Rate per 100 Population,Opioid Prescription,85.6
MI,2008,Annual,Michigan,Rate per 100 Population,Opioid Prescription,89.9
MI,2009,Annual,Michigan,Rate per 100 Population,Opioid Prescription,91.6
MI,2010,Annual,Michigan,Rate per 100 Population,Opioid Prescription,96
MI,2011,Annual,Michigan,Rate per 100 Population,Opioid Prescription,98.8
MI,2012,Annual,Michigan,Rate per 100 Population,Opioid Prescription,100.7
MI,2013,Annual,Michigan,Rate per 100 Population,Opioid Prescription,98.9
MI,2014,Annual,Michigan,Rate per 100 Population,Opioid Prescription,98
MI,2015,Annual,Michigan,Rate per 100 Population,Opioid Prescription,90.5
MI,2016,Annual,Michigan,Rate per 100 Population,Opioid Prescription,84.9
MI,2017,Annual,Michigan,Rate per 100 Population,Opioid Prescription,74.2
MI,2018,Annual,Michigan,Rate per 100 Population,Opioid Prescription,62.7
MN,2005,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,
MN,2006,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,50.3
MN,2007,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,53.7
MN,2008,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,56.5
MN,2009,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,58.6
MN,2010,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,59
MN,2011,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,60
MN,2012,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,60.9
MN,2013,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,58.3
MN,2014,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,56.6
MN,2015,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,52.1
MN,2016,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,46.9
MN,2017,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,41
MN,2018,Annual,Minnesota,Rate per 100 Population,Opioid Prescription,35.5
MO,2005,Annual,Missouri,Rate per 100 Population,Opioid Prescription,
MO,2006,Annual,Missouri,Rate per 100 Population,Opioid Prescription,80.5
MO,2007,Annual,Missouri,Rate per 100 Population,Opioid Prescription,84.3
MO,2008,Annual,Missouri,Rate per 100 Population,Opioid Prescription,86.8
MO,2009,Annual,Missouri,Rate per 100 Population,Opioid Prescription,88.5
MO,2010,Annual,Missouri,Rate per 100 Population,Opioid Prescription,91
MO,2011,Annual,Missouri,Rate per 100 Population,Opioid Prescription,91.6
MO,2012,Annual,Missouri,Rate per 100 Population,Opioid Prescription,95.4
MO,2013,Annual,Missouri,Rate per 100 Population,Opioid Prescription,93.3
MO,2014,Annual,Missouri,Rate per 100 Population,Opioid Prescription,90.7
MO,2015,Annual,Missouri,Rate per 100 Population,Opioid Prescription,84.5
MO,2016,Annual,Missouri,Rate per 100 Population,Opioid Prescription,80.4
MO,2017,Annual,Missouri,Rate per 100 Population,Opioid Prescription,71.8
MO,2018,Annual,Missouri,Rate per 100 Population,Opioid Prescription,63.4
MS,2005,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,
MS,2006,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,102.7
MS,2007,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,109.9
MS,2008,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,113.2
MS,2009,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,117.3
MS,2010,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,118.1
MS,2011,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,117.2
MS,2012,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,121.8
MS,2013,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,119.6
MS,2014,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,116.3
MS,2015,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,110.9
MS,2016,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,105.6
MS,2017,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,92.9
MS,2018,Annual,Mississippi,Rate per 100 Population,Opioid Prescription,76.8
MT,2005,Annual,Montana,Rate per 100 Population,Opioid Prescription,
MT,2006,Annual,Montana,Rate per 100 Population,Opioid Prescription,79.1
MT,2007,Annual,Montana,Rate per 100 Population,Opioid Prescription,81.1
MT,2008,Annual,Montana,Rate per 100 Population,Opioid Prescription,85.3
